DateTime,TweetId,Text,Username,Language,Hashtags,ReplyCount,RetweetCount,LikeCount,QuoteCount,Media
2020-05-28 06:11:14+00:00,1265888343210045440,"Россияда ўзбекистонлик талабалар коронавирус ҳақидаги маълумотни яширди. Энди улар ўқишдан ҳайдалиши мумкин
https://t.co/hFyDYQSoce https://t.co/UA696z6O0i https://t.co/TtR5umxJjp",HordiqUz_News,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFWvNCWkAU1D_Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFWvNCWkAU1D_Y?format=jpg&name=orig', altText=None)]"
2020-05-28 06:11:03+00:00,1265888296745533440,Коронавирус в России: ситуация стабилизируется – все новости https://t.co/ahXS0bEuV8 https://t.co/fzSEKmpjyE,IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFWsjMXsAAN-Ti?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFWsjMXsAAN-Ti?format=jpg&name=orig', altText=None)]"
2020-05-28 06:10:43+00:00,1265888212406489088,"Ещё у 96 новосибирцев выявили коронавирус за сутки
https://t.co/oba1Ml5oXg",Novosibirskie,ru,,0,0,0,0,
2020-05-28 06:10:06+00:00,1265888057624072194,Коронавирус в России: ситуация стабилизируется – все новости https://t.co/ahXS0bEuV8 https://t.co/4uCrG2dof6,IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFWepUX0AEbqy6?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFWepUX0AEbqy6?format=jpg&name=orig', altText=None)]"
2020-05-28 06:09:50+00:00,1265887988770320388,Новый Указ Губернатора Алтайского края #коронавирус #алтайскийбизнес #алтайскаятпп #юрист #адвокат #алтайскийкрай #барнаул #шляков https://t.co/HUaoQIIRGj,DeloYrist,ru,"['коронавирус', 'алтайскийбизнес', 'алтайскаятпп', 'юрист', 'адвокат', 'алтайскийкрай', 'барнаул', 'шляков']",0,0,0,0,
2020-05-28 06:09:25+00:00,1265887885833748480,"Передовая борьбы с коронавирусом: как врачи лечат больных в «красной зоне».
#новости #коронавирус #врачи #краснаязона
https://t.co/wa155eKGpb",Mir24TV,ru,"['новости', 'коронавирус', 'врачи', 'краснаязона']",0,0,0,0,
2020-05-28 06:09:17+00:00,1265887849599164416,"Гостериимный ТАШКЕНТ \ Чорсу \ Медресе \ Узбекский АРБАТ \ КОРОНАВИРУС, ... https://t.co/1h1mOONjRu",Severnyialbert,ru,,0,0,0,0,
2020-05-28 06:09:06+00:00,1265887806301364225,Экономика России побеждает коронавирус — трансляция https://t.co/2akfwowfZN https://t.co/MbD4BuXl0J,IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFWP7rXsAAJiq5?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFWP7rXsAAJiq5?format=jpg&name=orig', altText=None)]"
2020-05-28 06:08:34+00:00,1265887669369876480,"Минздрав решил не включать в статистику по коронавирусу тех, у кого выявляют инфекцию «без жалоб» и рекомендовал разделять умерших с коронавирусом на две группы: когда инфекция есть первоначальной причиной смерти, и когда коронавирус устанавливают как «прочую» причину смерти.",Q0MT6pFmbVqynsM,ru,,1,0,1,0,
2020-05-28 06:08:22+00:00,1265887619197685766,Четверть россиян сочли коронавирус выдумкой заинтересованных лиц https://t.co/gQOILcsGXA,bugaeff,ru,,0,0,0,0,
2020-05-28 06:08:10+00:00,1265887568484319239,Коронавирус в Новосибирске - 96 новых случаев за последние сутки: сообщение оперативного штаба на 12:30 28 мая https://t.co/rxRHhM8Eql,chernov68,ru,,0,0,0,0,
2020-05-28 06:08:04+00:00,1265887546841731074,Коронавирус в России: ситуация стабилизируется – все новости https://t.co/ahXS0bEuV8 https://t.co/zQHhsa8RDW,IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFWA6BWoAESySh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFWA6BWoAESySh?format=jpg&name=orig', altText=None)]"
2020-05-28 06:08:03+00:00,1265887539166097409,"Коронавирус – вызов, с которым столкнулся мир: все новости https://t.co/iaXMzOiaCX https://t.co/wuMqrH1M3G",IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFWAdzXgAAM7GK?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFWAdzXgAAM7GK?format=jpg&name=orig', altText=None)]"
2020-05-28 06:07:58+00:00,1265887518123319296,«В Гомеле нельзя сделать тест на коронавирус даже платно». У Леонида Судаленко высокая температура держится уже несколько дней. Известный правозащитник в интервью рассказал нам о своем самочувствии и реалиях белорусской медицины во время эпидемии: https://t.co/ADb2nrtJBZ https://t.co/6bcQ1FxSTQ,charter_97,ru,,0,3,2,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFV9N4XgAIvKba?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFV9N4XgAIvKba?format=jpg&name=orig', altText=None)]"
2020-05-28 06:07:03+00:00,1265887290422853632,"Коронавирус – вызов, с которым столкнулся мир: все новости https://t.co/iaXMzOiaCX https://t.co/x8ZDouh2Ns",IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFVx-ZWsAIwGxo?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFVx-ZWsAIwGxo?format=jpg&name=orig', altText=None)]"
2020-05-28 06:06:55+00:00,1265887255580860416,"Роспотребнадзор предложил продлить режим самоизоляции в Бурятии до 15 июня.
#новости #Бурятия #коронавирус 
https://t.co/5gr5dIpy0r",Mir24TV,ru,"['новости', 'Бурятия', 'коронавирус']",0,0,0,0,
2020-05-28 06:06:47+00:00,1265887222869491712,"Гостериимный ТАШКЕНТ \ Чорсу \ Медресе \ Узбекский АРБАТ \ КОРОНАВИРУС, ... https://t.co/Ez3oFfxLC7 с помощью @YouTube",Severnyialbert,ru,,0,0,0,0,
2020-05-28 06:06:28+00:00,1265887141386747904,Коронавирус в Московской области на 28 мая 2020 года https://t.co/8pYrSNgjIA,photoprokatchel,ru,,0,0,0,0,
2020-05-28 06:06:18+00:00,1265887102400593921,Коронавирус в России: как штрафуют заразившихся медиков https://t.co/wZ2YB9x4p4 https://t.co/kzREBOIz03,krymrealii,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFVmvVXQAA73Zg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFVmvVXQAA73Zg?format=jpg&name=orig', altText=None)]"
2020-05-28 06:06:06+00:00,1265887050349322240,"Коронавирус – вызов, с которым столкнулся мир: все новости https://t.co/iaXMzOiaCX https://t.co/09LK3qBVTA",IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFVkANXYAA_mlg?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFVkANXYAA_mlg?format=jpg&name=orig', altText=None)]"
2020-05-28 06:06:05+00:00,1265887044796063746,"#ДоброУтро 
Ден први без #ПолицискиЧас.

 #КоронаВирус https://t.co/mUiLKRd08s",thedjmkd,sr,"['ДоброУтро', 'ПолицискиЧас', 'КоронаВирус']",0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFViw1XkAAOV2F?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFViw1XkAAOV2F?format=jpg&name=orig', altText=None)]"
2020-05-28 06:06:03+00:00,1265887036193595393,Коронавирус в России: ситуация стабилизируется – все новости https://t.co/ahXS0bEuV8 https://t.co/9EFho7y7PZ,IA_REGNUM,ru,,0,0,0,0,"[Photo(previewUrl='https://pbs.twimg.com/media/EZFVjKwX0Age77I?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EZFVjKwX0Age77I?format=jpg&name=orig', altText=None)]"
